Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2017,3,La Pampa,2.854,"8.650,00"
2017,3,La Rioja,634,"2.376,00"
2017,3,Mendoza,590,"2.109,00"
2017,3,Misiones,1.027,"3.761,00"
2017,3,Neuquén,1.724,"5.779,00"
2017,3,Río Negro,806,"2.613,00"
2017,3,Salta,1.860,"7.663,00"
2017,3,San Juan,523,"2.049,00"
2017,3,San Luis,1.280,"4.462,00"
2017,3,Santa Cruz,1.416,"4.736,00"
2017,3,Santa Fe,1.783,"5.664,00"
2017,3,Santiago del Estero,1.033,"4.154,00"
2017,3,Tierra del Fuego,2.484,"8.342,00"
2017,3,Tucumán,1.099,"4.427,00"
2017,2,Buenos Aires,1.517,"4.717,00"
2017,2,Capital Federal,2.314,"5.496,00"
2017,2,Catamarca,1.001,"3.935,00"
2017,2,Chaco,784,"2.932,00"
2017,2,Chubut,1.238,"4.037,00"
2017,2,Córdoba,2.800,"9.143,00"
2017,2,Corrientes,853,"3.241,00"
2017,2,Entre Ríos,1.207,"4.036,00"
2017,2,Formosa,812,"3.192,00"
2017,2,Jujuy,1.136,"4.442,00"
2017,2,La Pampa,2.845,"8.633,00"
2017,2,La Rioja,639,"2.399,00"
2017,2,Mendoza,588,"2.106,00"
2017,2,Misiones,1.010,"3.709,00"
2017,2,Neuquén,1.737,"5.835,00"
2017,2,Río Negro,811,"2.638,00"
2017,2,Salta,1.873,"7.734,00"
2017,2,San Juan,538,"2.111,00"
2017,2,San Luis,1.123,"3.925,00"
2017,2,Santa Cruz,1.484,"4.988,00"
2017,2,Santa Fe,1.793,"5.703,00"
2017,2,Santiago del Estero,1.026,"4.135,00"
2017,2,Tierra del Fuego,2.425,"8.179,00"
2017,2,Tucumán,1.098,"4.432,00"
2017,1,Buenos Aires,1.523,"4.743,00"
2017,1,Capital Federal,2.329,"5.524,00"
2017,1,Catamarca,736,"2.891,00"
2017,1,Chaco,757,"2.832,00"
2017,1,Chubut,1.246,"4.065,00"
2017,1,Córdoba,2.816,"9.197,00"
2017,1,Corrientes,858,"3.259,00"
2017,1,Entre Ríos,1.195,"3.998,00"
2017,1,Formosa,828,"3.253,00"
2017,1,Jujuy,1.133,"4.431,00"
2017,1,La Pampa,2.934,"8.904,00"
2017,1,La Rioja,649,"2.437,00"
2017,1,Mendoza,607,"2.176,00"
2017,1,Misiones,1.016,"3.730,00"
2017,1,Neuquén,1.745,"5.861,00"
2017,1,Río Negro,734,"2.385,00"
2017,1,Salta,1.252,"5.167,00"
